is_fraudulent,amount_robust,customer_age_robust,card_type_Discover,card_type_MasterCard,card_type_Visa,purchase_category_Groceries,purchase_category_Online Shopping,purchase_category_Restaurant,purchase_category_Retail,purchase_category_Travel
0,0.16076802541905688,-0.038461538461538464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.6013748895918999,0.6538461538461539,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-0.7303473582083359,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5283919245490312,0.5769230769230769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.603639367131879,-0.3076923076923077,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0.7000318133406578,-0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5177710111307173,-0.9615384615384616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,-0.5256314750522152,-0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.19606700166180235,-0.038461538461538464,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.6752055517243425,0.4230769230769231,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,-0.38941702547240825,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,-0.1612956131181618,-0.6538461538461539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.2893946968544313,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,-0.5443005708617462,-0.38461538461538464,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,-0.47976691294012563,-0.11538461538461539,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,-0.2945875825220272,-0.9615384615384616,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,-0.4998606931356294,-0.11538461538461539,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,-0.9613596349962553,0.7692307692307693,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0.7828215864384274,0.6923076923076923,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.37415057392452145,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,-0.4195606597415017,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,-0.656807165707985,-0.15384615384615385,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,-0.8535064822151568,0.6153846153846154,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-0.0001363428885326936,0.2692307692307692,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.8067803911262516,-0.6153846153846154,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,-0.8559053266597768,-0.07692307692307693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.5165142853755456,-0.8076923076923077,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,-0.12613297976394894,0.038461538461538464,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
